1:EVR:<MEMBER_SELECT(java.lang.String)>:<DEFAULT>:org.gjt.sp.jedit.gui.DockableLayout:33:BorderLayout.CENTER |==> null
33:COR:RIGHT_BUTTONS.equals(cons):TRUE:org.gjt.sp.jedit.gui.DockableLayout@addLayoutComponent(java.awt.Component,java.lang.Object):100:RIGHT_BUTTONS.equals(cons) |==> false
34:COR:RIGHT_BUTTONS.equals(cons):FALSE:org.gjt.sp.jedit.gui.DockableLayout@addLayoutComponent(java.awt.Component,java.lang.Object):100:RIGHT_BUTTONS.equals(cons) |==> true
35:STD:<ASSIGN>:<NO-OP>:org.gjt.sp.jedit.gui.DockableLayout@addLayoutComponent(java.awt.Component,java.lang.Object):101:rightButtons = comp |==> <NO-OP>
36:ROR:==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):org.gjt.sp.jedit.gui.DockableLayout@removeLayoutComponent(java.awt.Component):107:center == comp |==> false
37:STD:<ASSIGN>:<NO-OP>:org.gjt.sp.jedit.gui.DockableLayout@removeLayoutComponent(java.awt.Component):108:center = null |==> <NO-OP>
38:ROR:==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):org.gjt.sp.jedit.gui.DockableLayout@removeLayoutComponent(java.awt.Component):109:comp == top |==> false
39:STD:<ASSIGN>:<NO-OP>:org.gjt.sp.jedit.gui.DockableLayout@removeLayoutComponent(java.awt.Component):110:top = null |==> <NO-OP>
40:ROR:==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):org.gjt.sp.jedit.gui.DockableLayout@removeLayoutComponent(java.awt.Component):111:comp == left |==> false
41:STD:<ASSIGN>:<NO-OP>:org.gjt.sp.jedit.gui.DockableLayout@removeLayoutComponent(java.awt.Component):112:left = null |==> <NO-OP>
42:ROR:==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):org.gjt.sp.jedit.gui.DockableLayout@removeLayoutComponent(java.awt.Component):113:comp == bottom |==> false
43:STD:<ASSIGN>:<NO-OP>:org.gjt.sp.jedit.gui.DockableLayout@removeLayoutComponent(java.awt.Component):114:bottom = null |==> <NO-OP>
44:ROR:==(java.lang.Object,java.lang.Object):FALSE(java.lang.Object,java.lang.Object):org.gjt.sp.jedit.gui.DockableLayout@removeLayoutComponent(java.awt.Component):115:comp == right |==> false
45:STD:<ASSIGN>:<NO-OP>:org.gjt.sp.jedit.gui.DockableLayout@removeLayoutComponent(java.awt.Component):116:right = null |==> <NO-OP>
46:LVR:0:POS:org.gjt.sp.jedit.gui.DockableLayout@preferredLayoutSize(java.awt.Container):122:0 |==> 1
47:LVR:0:NEG:org.gjt.sp.jedit.gui.DockableLayout@preferredLayoutSize(java.awt.Container):122:0 |==> -1
48:LVR:0:POS:org.gjt.sp.jedit.gui.DockableLayout@preferredLayoutSize(java.awt.Container):122:0 |==> 1
49:LVR:0:NEG:org.gjt.sp.jedit.gui.DockableLayout@preferredLayoutSize(java.awt.Container):122:0 |==> -1
